"sid" "first.saccade.latency" "type" "N"
"0304b" 0.296578884124756 "data" 185
"0304b" 0.318057775497437 "data" 185
"0304b" 0.270512104034424 "data" 185
"0304b" 0.261378049850464 "data" 185
"0304b" 0.211411952972412 "data" 185
"0304b" 0.271581888198853 "data" 185
"0304b" 0.262284994125366 "data" 185
"0304b" 0.286300897598267 "data" 185
"0304b" 0.231451988220215 "data" 185
"0304b" 0.261228084564209 "data" 185
"0304b" 0.228543043136597 "data" 185
"0304b" 0.23907995223999 "data" 185
"0304b" 0.327543973922729 "data" 185
"0304b" 0.23737907409668 "data" 185
"0304b" 0.226967811584473 "data" 185
"0304b" 0.26264214515686 "data" 185
"0304b" 0.304138898849487 "data" 185
"0304b" 0.255923986434937 "data" 185
"0304b" 0.240036010742188 "data" 185
"0304b" 0.317249059677124 "data" 185
"0304b" 0.249984979629517 "data" 185
"0304b" 0.274863958358765 "data" 185
"0304b" 0.31955099105835 "data" 185
"0304b" 0.253158092498779 "data" 185
"0304b" 0.25908899307251 "data" 185
"0304b" 0.290894985198975 "data" 185
"0304b" 0.237355947494507 "data" 185
"0304b" 0.263969898223877 "data" 185
"0304b" 0.291017530334099 "model" 185
"0304b" 0.283903734859115 "model" 185
"0304b" 0.243040004575706 "model" 185
"0304b" 0.0129772241542996 "model" 185
"0304b" 0.395603827270732 "model" 185
"0304b" 0.24003711363148 "model" 185
"0304b" 0.0444203094295232 "model" 185
"0304b" 0.301242435976155 "model" 185
"0304b" 0.256621843678576 "model" 185
"0304b" 0.321053431754106 "model" 185
"0304b" 0.0104436668530545 "model" 185
"0304b" 0.233318829079311 "model" 185
"0304b" 0.323754450493916 "model" 185
"0304b" 0.340030574363948 "model" 185
"0304b" 0.269272109484887 "model" 185
"0304b" 0.0277795366621199 "model" 185
"0304b" 0.290134752879624 "model" 185
"0304b" 0.28943018032365 "model" 185
"0304b" 0.310286810398759 "model" 185
"0304b" 0.244965812908049 "model" 185
"0304b" 0.235706769726826 "model" 185
"0304b" 0.30476097385791 "model" 185
"0304b" 0.256583989357126 "model" 185
"0304b" 0.279031118153152 "model" 185
"0304b" 0.309344687958627 "model" 185
"0304b" 0.342105520451479 "model" 185
"0304b" 0.257418170542607 "model" 185
"0304b" 0.327561652575443 "model" 185
"0304b" 0.0414338242141861 "model" 185
"0304b" 0.264536905446123 "model" 185
"0304b" 0.241275263832941 "model" 185
"0304b" 0.303014018024584 "model" 185
"0304b" 0.245951482683589 "model" 185
"0304b" 0.297778028469522 "model" 185
"0304b" 0.279080445536664 "model" 185
"0304b" 0.223884879259509 "model" 185
"0304b" 0.259601893028989 "model" 185
"0304b" 0.0345776256971411 "model" 185
"0304b" 0.219018059648453 "model" 185
"0304b" 0.225210375578675 "model" 185
"0304b" 0.2124993333003 "model" 185
"0304b" 0.281572924020659 "model" 185
"0304b" 0.342224058915574 "model" 185
"0304b" 0.23158052253012 "model" 185
"0304b" 0.268672497432276 "model" 185
"0304b" 0.246257540767394 "model" 185
"0304b" 0.468967061762009 "model" 185
"0304b" 0.339544339266849 "model" 185
"0304b" 0.249446147396042 "model" 185
"0304b" 0.0480252703147219 "model" 185
"0304b" 0.256010652577009 "model" 185
"0304b" 0.29046886966645 "model" 185
"0304b" 0.26536266529267 "model" 185
