"sid" "first.saccade.latency" "type"
"1f330" 0.369755029678345 "data"
"1f330" 0.312901020050049 "data"
"1f330" 0.463242053985596 "data"
"1f330" 0.276149988174438 "data"
"1f330" 0.220077991485596 "data"
"1f330" 0.221971988677979 "data"
"1f330" 0.262920141220093 "data"
"1f330" 0.289450168609619 "data"
"1f330" 0.338230848312378 "data"
"1f330" 0.250667095184326 "data"
"1f330" 0.356549978256226 "data"
"1f330" 0.261951208114624 "data"
"1f330" 0.448193073272705 "data"
"1f330" 0.223498106002808 "data"
"1f330" 0.274402856826782 "data"
"1f330" 0.216966867446899 "data"
"1f330" 0.322159051895142 "data"
"1f330" 0.253127098083496 "data"
"1f330" 0.272311210632324 "data"
"1f330" 0.238178014755249 "data"
"1f330" 0.265290975570679 "data"
"1f330" 0.210087060928345 "data"
"1f330" 0.274039030075073 "data"
"1f330" 0.360994100570679 "data"
"1f330" 0.286371946334839 "data"
"1f330" 0.328595876693726 "data"
"1f330" 0.274077892303467 "data"
"1f330" 0.31763482093811 "data"
"1f330" 0.542722940444946 "data"
"1f330" 0.225481986999512 "data"
"1f330" 0.337039947509766 "data"
"1f330" 0.280755996704102 "data"
"1f330" 0.222234964370728 "data"
"1f330" 0.287376165390015 "data"
"1f330" 0.311131954193115 "data"
"1f330" 0.271929025650024 "data"
"1f330" 0.297192811965942 "data"
"1f330" 0.242348194122314 "data"
"1f330" 0.260339021682739 "data"
"1f330" 0.271615028381348 "data"
"1f330" 0.224277973175049 "data"
"1f330" 0.371757030487061 "data"
"1f330" 0.436663150787354 "data"
"1f330" 0.317698001861572 "data"
"1f330" 0.380466938018799 "data"
"1f330" 0.224591016769409 "data"
"1f330" 0.224124908447266 "data"
"1f330" 0.346935033798218 "data"
"1f330" 0.242624044418335 "data"
"1f330" 0.254134893417358 "data"
"1f330" 0.382875919342041 "data"
"1f330" 0.353139162063599 "data"
"1f330" 0.206643104553223 "data"
"1f330" 0.237666130065918 "data"
"1f330" 0.271887063980103 "data"
"1f330" 0.370459079742432 "data"
"1f330" 0.273090124130249 "data"
"1f330" 0.360855102539062 "data"
"1f330" 0.221771955490112 "data"
"1f330" 0.323547124862671 "data"
"1f330" 0.314785957336426 "data"
"1f330" 0.28623104095459 "data"
"1f330" 0.285815954208374 "data"
"1f330" 0.338974952697754 "data"
"1f330" 0.0126919746398926 "data"
"1f330" 0.478899955749512 "data"
"1f330" 0.249526977539062 "data"
"1f330" 0.252669811248779 "data"
"1f330" 0.217131853103638 "data"
"1f330" 0.307244062423706 "data"
"1f330" 0.36359715461731 "data"
"1f330" 0.273366928100586 "data"
"1f330" 0.305279970169067 "data"
"1f330" 0.289062023162842 "data"
"1f330" 0.337898015975952 "data"
"1f330" 0.480545997619629 "data"
"1f330" 0.277193069458008 "data"
"1f330" 0.273267984390259 "data"
"1f330" 0.145528078079224 "data"
"1f330" 0.284974813461304 "data"
"1f330" 0.286053895950317 "data"
"1f330" 0.264055013656616 "data"
"1f330" 0.226632833480835 "data"
"1f330" 0.270371913909912 "data"
"1f330" 0.189494848251343 "data"
"1f330" 0.280700922012329 "data"
"1f330" 0.440614938735962 "data"
"1f330" 0.321559190750122 "data"
"1f330" 0.404985904693604 "data"
"1f330" 0.239460945129395 "data"
"1f330" 0.28873085975647 "data"
"1f330" 0.286784172058105 "data"
"1f330" 0.322246074676514 "data"
"1f330" 0.271940946578979 "data"
"1f330" 0.274688005447388 "data"
"1f330" 0.276015043258667 "data"
"1f330" 0.278527021408081 "data"
"1f330" 0.283550024032593 "data"
"1f330" 0.353868961334229 "data"
"1f330" 0.405668020248413 "data"
"1f330" 0.375715017318726 "data"
"1f330" 0.288828134536743 "data"
"1f330" 0.331232786178589 "data"
"1f330" 0.294598817825317 "data"
"1f330" 0.685608148574829 "data"
"1f330" 0.220557928085327 "data"
"1f330" 0.150874853134155 "data"
"1f330" 0.306135177612305 "data"
"1f330" 0.254034996032715 "data"
"1f330" 0.260833024978638 "data"
"1f330" 0.272796154022217 "data"
