"sid" "first.saccade.latency" "type" "N"
"06fbf" 0.381325757288078 "model-lat" 79
"06fbf" 0.496195195674079 "model-lat" 79
"06fbf" 0.399583037262011 "model-lat" 79
"06fbf" 0.462028962958809 "model-lat" 79
"06fbf" 0.409172849326957 "model-lat" 79
"06fbf" 0.418912620017733 "model-lat" 79
"06fbf" 0.373904959616564 "model-lat" 79
"06fbf" 0.344403353893023 "model-lat" 79
"06fbf" 0.301694842131826 "model-lat" 79
"06fbf" 0.375820063179776 "model-lat" 79
"06fbf" 0.46419897736805 "model-lat" 79
"06fbf" 0.34387304569149 "model-lat" 79
"06fbf" 0.371479074975277 "model-lat" 79
"06fbf" 0.327109182413684 "model-lat" 79
"06fbf" 0.356243616742394 "model-lat" 79
"06fbf" 0.384127698409746 "model-lat" 79
"06fbf" 0.314003964982451 "model-lat" 79
"06fbf" 0.327171031085038 "model-lat" 79
"06fbf" 0.454833533823288 "model-lat" 79
"06fbf" 0.43785278136403 "model-lat" 79
"06fbf" 0.348103113406311 "model-lat" 79
"06fbf" 0.329006050592815 "model-rsp" 79
"06fbf" 0.377136055028127 "model-rsp" 79
"06fbf" 0.412655864348433 "model-rsp" 79
"06fbf" 0.342977057195389 "model-rsp" 79
"06fbf" 0.340193968214157 "model-rsp" 79
"06fbf" 0.472406969950915 "model-rsp" 79
"06fbf" 0.32374925253731 "model-rsp" 79
"06fbf" 0.419686054045917 "model-rsp" 79
"06fbf" 0.409710827395404 "model-rsp" 79
"06fbf" 0.499607444035746 "model-rsp" 79
"06fbf" 0.405441952236008 "model-rsp" 79
"06fbf" 0.39306244030188 "model-rsp" 79
"06fbf" 0.361231845713449 "model-rsp" 79
"06fbf" 0.415781851469854 "model-rsp" 79
"06fbf" 0.441025403080986 "model-rsp" 79
"06fbf" 0.389200808794078 "model-rsp" 79
"06fbf" 0.488363895075938 "model-rsp" 79
"06fbf" 0.42877259624566 "model-rsp" 79
"06fbf" 0.411331174289283 "model-rsp" 79
"06fbf" 0.380724637581837 "model-rsp" 79
"06fbf" 0.362474611739995 "model-rsp" 79
"06fbf" 0.4180787072989 "model-rsp" 79
