"sid" "alpha" "timer_states" "timer_mean" "labile_mean" "attn_mean" "gap_timer_rate" "cue_timer_rate" "lat_mean_anti" "amp_mean_anti" "rsp_mean_anti" "class"
"1f330" 0.75 20 0.275000005960464 0.140000000596046 0.100000001490116 0.75 1.5 0.0790000036358833 0.967000007629395 0.456000000238419 2
"1f330" 0.75 20 0.200000002980232 0.140000000596046 0.100000001490116 1 1.5 0.0860000029206276 0.967000007629395 0.363999992609024 2
"1f330" 0.75 20 0.25 0.119999997317791 0.100000001490116 1 1.25 0.0879999995231628 0.967000007629395 0.519999980926514 2
"1f330" 0.75 20 0.150000005960464 0.119999997317791 0.100000001490116 1 1.75 0.0890000015497208 0.949999988079071 0.23199999332428 2
"1f330" 0.75 20 0.300000011920929 0.0799999982118607 0.150000005960464 1.25 1.25 0.0930000022053719 0.967000007629395 0.46399998664856 2
"1f330" 0.75 20 0.174999997019768 0.0799999982118607 0.150000005960464 1.25 0.75 0.0780000016093254 0.953000009059906 0.291999995708466 2
"1f330" 1 20 0.150000005960464 0.100000001490116 0.100000001490116 0.5 1 0.0939999967813492 0.551999986171722 1 2
"1f330" 0.75 100 0.300000011920929 0.159999996423721 0.0500000007450581 0.75 1.25 0.0979999974370003 0.967000007629395 0.755999982357025 1
"1f330" 0.75 20 0.174999997019768 0.0799999982118607 0.150000005960464 0.25 0.75 0.0780000016093254 0.967000007629395 0.291999995708466 2
"1f330" 0.75 100 0.25 0.119999997317791 0.100000001490116 0.25 1 0.0989999994635582 0.967000007629395 0.607999980449677 1
"1f330" 0.75 20 0.200000002980232 0.140000000596046 0.100000001490116 1 1.25 0.0769999995827675 0.958000004291534 0.476000010967255 2
"1f330" 0.75 20 0.300000011920929 0.159999996423721 0.0500000007450581 1.5 1.75 0.0790000036358833 0.967000007629395 0.856000006198883 2
"1f330" 0.75 20 0.300000011920929 0.159999996423721 0.0500000007450581 1.75 1.75 0.0920000001788139 0.967000007629395 0.875999987125397 2
